fast_speed_range,fast_max_speed,slow_total_profit,slow_win_rate,fast_total_profit,fast_win_rate,fast_miss_rate,slow_miss_rate,fast_avg_profit_per_bid,slow_avg_profit_per_bid,fast_avg_profit_per_win,slow_avg_profit_per_win
"(np.float64(0.403), np.float64(0.703))",0.703,2585.02766,0.33744,3525.71052,0.66256,0.08504,0.0,0.01784,0.01197,0.12318,0.17733
"(np.float64(0.41), np.float64(0.71))",0.71,2567.11168,0.33525,3530.64128,0.66475,0.07319,0.0,0.01764,0.01188,0.12294,0.17725
"(np.float64(0.417), np.float64(0.717))",0.717,3009.65321,0.38359,3293.83177,0.61641,0.20584,0.0,0.0192,0.01393,0.12369,0.18162
"(np.float64(0.424), np.float64(0.724))",0.724,2678.04727,0.34813,3477.20166,0.65187,0.11282,0.0,0.01815,0.0124,0.12348,0.17807
"(np.float64(0.431), np.float64(0.731))",0.731,2835.08588,0.3656,3389.15964,0.6344,0.16724,0.0,0.01884,0.01313,0.12366,0.17951
"(np.float64(0.438), np.float64(0.738))",0.738,3148.39992,0.39937,3208.97287,0.60063,0.27568,0.0,0.02051,0.01458,0.12367,0.18249
"(np.float64(0.445), np.float64(0.745))",0.745,2943.00795,0.3772,3325.07224,0.6228,0.1971,0.0,0.01917,0.01363,0.12359,0.18061
"(np.float64(0.453), np.float64(0.753))",0.753,2899.10352,0.37154,3358.29812,0.62846,0.21031,0.0,0.01969,0.01342,0.1237,0.18062
"(np.float64(0.46), np.float64(0.76))",0.76,2618.87479,0.34186,3509.84503,0.65814,0.09935,0.0,0.01804,0.01212,0.12345,0.17733
"(np.float64(0.467), np.float64(0.767))",0.767,4469.97388,0.54299,2446.64902,0.45701,0.53093,0.0,0.02415,0.02069,0.12392,0.19056
"(np.float64(0.474), np.float64(0.774))",0.774,4080.92868,0.50089,2670.45335,0.49911,0.47417,0.0,0.02351,0.01889,0.12385,0.1886
"(np.float64(0.481), np.float64(0.781))",0.781,3826.62766,0.47386,2820.63272,0.52614,0.41543,0.0,0.02234,0.01772,0.1241,0.18693
"(np.float64(0.488), np.float64(0.788))",0.788,2815.86757,0.36265,3402.9436,0.63735,0.18325,0.0,0.01929,0.01304,0.12359,0.17974
"(np.float64(0.495), np.float64(0.795))",0.795,5548.69106,0.6579,1838.13245,0.3421,0.69421,0.0,0.02783,0.02569,0.12438,0.19523
"(np.float64(0.502), np.float64(0.802))",0.802,3938.45784,0.48599,2751.1325,0.51401,0.45411,0.0,0.02333,0.01823,0.1239,0.18759
"(np.float64(0.509), np.float64(0.809))",0.809,3353.91762,0.4224,3087.71292,0.5776,0.31249,0.0,0.02079,0.01553,0.12374,0.1838
"(np.float64(0.516), np.float64(0.816))",0.816,7685.43908,0.88878,593.98191,0.11122,0.91113,0.0,0.03094,0.03558,0.12363,0.20017
"(np.float64(0.523), np.float64(0.823))",0.823,5436.8425,0.64644,1892.17639,0.35356,0.66265,0.0,0.02597,0.02517,0.12388,0.19469
"(np.float64(0.53), np.float64(0.83))",0.83,6569.59364,0.76958,1230.74249,0.23042,0.81058,0.0,0.03008,0.03041,0.12364,0.19761
"(np.float64(0.537), np.float64(0.837))",0.837,5628.44061,0.66787,1776.53503,0.33213,0.67208,0.0,0.02508,0.02606,0.12382,0.19508
"(np.float64(0.544), np.float64(0.844))",0.844,4672.0753,0.56489,2330.46412,0.43511,0.56062,0.0,0.02456,0.02163,0.12398,0.19145
"(np.float64(0.552), np.float64(0.852))",0.852,8401.60606,0.96275,197.88115,0.03725,0.97254,0.0,0.03337,0.0389,0.12295,0.20201
"(np.float64(0.559), np.float64(0.859))",0.859,5629.63104,0.66769,1771.15706,0.33231,0.72368,0.0,0.02968,0.02606,0.12338,0.19517
"(np.float64(0.566), np.float64(0.866))",0.866,5795.27321,0.68448,1686.94426,0.31552,0.73275,0.0,0.02922,0.02683,0.12376,0.19599
"(np.float64(0.573), np.float64(0.873))",0.873,6519.52804,0.76331,1265.0318,0.23669,0.79731,0.0,0.02889,0.03018,0.12372,0.19771
"(np.float64(0.58), np.float64(0.88))",0.88,5878.69658,0.69409,1630.21084,0.30591,0.71863,0.0,0.02682,0.02722,0.12336,0.19606
"(np.float64(0.587), np.float64(0.887))",0.887,7290.7963,0.84744,812.30111,0.15256,0.87886,0.0,0.03105,0.03375,0.12325,0.19915
"(np.float64(0.594), np.float64(0.894))",0.894,8239.88028,0.94691,284.79724,0.05309,0.95923,0.0,0.03234,0.03815,0.12417,0.20143
"(np.float64(0.601), np.float64(0.901))",0.901,7722.74202,0.8927,572.73778,0.1073,0.90898,0.0,0.02913,0.03575,0.12356,0.20025
"(np.float64(0.608), np.float64(0.908))",0.908,7762.68155,0.89544,558.63167,0.10456,0.91323,0.0,0.02981,0.03594,0.12367,0.20068
